Article ID	Year	Word Count	Archi Count	Archi Y/N	Archi Words	Ocean Count	Ocean Y/N	Ocean Words	Island Count	Island Y/N	Island Words	Continent Count	Continent Y/N	Continent Words	Water Count	Water Y/N	Sea Count	Sea Y/N	Mainland Count	Mainland Y/N	Mainland Words	Insular Count	Insular Y/N	Insular Words	Transnational Count	Transnational Y/N	Transnational Words	Pacific Count	Pacific Y/N	Pacific Words	Atlantic Count	Atlantic Y/N	Atlantic Words
1950_2_1_62-70_2710576	1950	3719	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	2	1	['Atlantic', 'Atlantic']
1950_2_1_71-81_2710577	1950	4226	1	1	['archipelago']	0	0	[]	20	1	['island', 'Isle', 'Isle', 'island', 'island', 'island', 'Isle', 'Isle', 'islands', 'Isle', 'Isle', 'Island', 'island', 'island', 'islands', 'islands', 'island', 'island', 'Isle', 'island']	0	0	[]	1	1	7	1	0	0	[]	0	0	[]	0	0	[]	3	1	['Pacific', 'Pacific', 'Pacific']	1	1	['Atlantic']
1950_2_1_82-89_2710578	1950	3149	0	0	[]	0	0	[]	1	1	['islands']	3	1	['continental', 'Continental', 'Continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	8	1	['TRANSATLANTIC', 'transatlantic', 'Atlantic', 'transatlantic', 'North-Atlantic', 'Atlantic', 'Transatlantic', 'Atlantic']
1950_2_1_89-93_2710579	1950	2103	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_1_94-95_2710580	1950	726	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_112-117_3031448	1950	2084	0	0	[]	0	0	[]	1	1	['island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
1950_2_2_118-132_3031449	1950	5826	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	1	1	['transnational']	0	0	[]	0	0	[]
1950_2_2_133-143_3031450	1950	4220	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_144-154_3031451	1950	4321	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_155-164_3031452	1950	4188	0	0	[]	0	0	[]	1	1	['island']	0	0	[]	0	0	5	1	0	0	[]	0	0	[]	0	0	[]	1	1	['Pacific']	1	1	['Atlantic']
1950_2_2_165-176_3031453	1950	4920	0	0	[]	0	0	[]	1	1	['island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_177-179_3031454	1950	852	0	0	[]	0	0	[]	1	1	['island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_179-180_3031455	1950	698	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	5	1	['ATLANTIC', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic']
1950_2_2_181-183_3031456	1950	877	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
1950_2_2_183-184_3031457	1950	779	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
