Article ID	Year	Word Count	Archi Count	Archi Y/N	Archi Words	Ocean Count	Ocean Y/N	Ocean Words	Island Count	Island Y/N	Island Words	Continent Count	Continent Y/N	Continent Words	Water Count	Water Y/N	Sea Count	Sea Y/N	Mainland Count	Mainland Y/N	Mainland Words	Insular Count	Insular Y/N	Insular Words	Transnational Count	Transnational Y/N	Transnational Words	Pacific Count	Pacific Y/N	Pacific Words	Atlantic Count	Atlantic Y/N	Atlantic Words
2006_78_1_1-28_0001	2006	8602	0	0	[]	1	1	['ocean']	2	1	['Island', 'Island']	14	1	['continent', 'continent', 'Continental', 'continental', 'continent', 'continental', 'continent', 'Continental', 'continental', 'Continental', 'continental', 'Continental', 'continental', 'Continental']	1	1	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_1_117-140_0117	2006	7809	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_1_141-168_0141	2006	8591	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_1_169-178_0169	2006	2806	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_1_179-180_0179br	2006	5539	0	0	[]	1	1	['oceans']	0	0	[]	1	1	['continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	2	1	['transatlantic', 'transatlantic']
2006_78_1_195-203_0195br	2006	2429	0	0	[]	0	0	[]	0	0	[]	1	1	['continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_1_205-205_0205	2006	106	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_1_29-57_0029	2006	8758	0	0	[]	2	1	['ocean', 'ocean']	0	0	[]	0	0	[]	2	1	10	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['trans-Atlantic']
2006_78_1_59-88_0059	2006	9194	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	11	1	['Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic', 'Atlantic']
2006_78_1_89-116_0089	2006	8940	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_2_207-234_0207	2006	8752	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	1	1	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_2_235-262_0235	2006	8587	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['transatlantic']
2006_78_2_263-292_0263	2006	9498	0	0	[]	0	0	[]	1	1	['Island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
2006_78_2_293-323_0293	2006	9800	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_2_325-355_0325	2006	9411	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_2_357-387_0357	2006	9398	0	0	[]	0	0	[]	1	1	['island']	1	1	['continent']	2	1	0	0	0	0	[]	0	0	[]	1	1	['Transnationalism']	0	0	[]	0	0	[]
2006_78_2_389-391_0389br	2006	10254	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	1	1	['transnational']	0	0	[]	0	0	[]
2006_78_2_419-428_0419br	2006	2866	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	2	1	['Pacific', 'Pacific']	4	1	['Atlantic', 'Atlantic', 'Transatlantic', 'transatlantic']
2006_78_2_429-429_0429	2006	131	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_3_431-457_0431	2006	8795	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_3_459-486_0459	2006	8878	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	3	1	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	['Atlantic']
2006_78_3_487-517_0487	2006	9383	0	0	[]	0	0	[]	0	0	[]	0	0	[]	3	1	0	0	0	0	[]	0	0	[]	0	0	[]	1	1	['Pacific']	0	0	[]
2006_78_3_519-548_0519	2006	9708	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	1	1	['pacific']	0	0	[]
2006_78_3_549-583_0549	2006	9109	0	0	[]	0	0	[]	1	1	['island']	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_3_585-612_0585	2006	8460	0	0	[]	0	0	[]	0	0	[]	1	1	['continental']	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_3_613-615_0613br	2006	17319	0	0	[]	0	0	[]	0	0	[]	0	0	[]	1	1	0	0	0	0	[]	1	1	['insularity']	2	1	['transnationally', 'transnational']	1	1	['Pacific']	11	1	['Atlantic', 'transatlantic', 'Transatlantic', 'Atlantic', 'transatlantic', 'Atlantic', 'transatlantic', 'transatlantic', 'transatlantic', 'Atlantic', 'Atlantic']
2006_78_3_663-673_0663br	2006	3023	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	1	1	['transnationalism']	0	0	[]	1	1	['Atlantic']
2006_78_3_675-675_0675	2006	141	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	0	0	0	0	[]	0	0	[]	0	0	[]	0	0	[]	0	0	[]
2006_78_4_677-690_0677	2006	4330	0	0	[]	1	1	['Ocean']	0	0	[]	0	0	[]	0	0	1	1	0	0	[]	0	0	[]	10	1	['transnational', 'transnational', 'transnationalism', 'transnational', 'Transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational']	0	0	[]	4	1	['Atlantic', 'circum-Atlantic', 'circum-Atlantic', 'Atlantic']
2006_78_4_691-692_0691	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_693-695_0693	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_695-698_0695	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_699-700_0699	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_701-703_0701	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_704-707_0704	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_707-709_0707	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_709-711_0709	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_712-714_0712	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_714-716_0714	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_717-719_0717	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_719-722_0719	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_722-724_0722	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_725-727_0725	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_727-730_0727	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_730-732_0730	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
2006_78_4_733-739_0733	2006	14308	0	0	[]	0	0	[]	4	1	['island', 'island', "island's", 'island']	3	1	['continental', 'continent', 'continental']	0	0	1	1	0	0	[]	0	0	[]	7	1	['transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnational', 'transnationally']	0	0	[]	3	1	['Atlantic', 'Atlantic', 'Atlantic']
